Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0118,4.6e-07,38,0.0004449,0.54,0.65
0.0118,4.6e-07,38,0.0004449,0.53,0.65
0.0135,7.6e-07,62,0.0006250,0.58,0.64
0.0128,6.7e-07,55,0.0005296,0.61,0.70
0.0123,5.6e-07,46,0.0004767,0.57,0.69
0.0128,5.9e-07,48,0.0004979,0.53,0.68
0.0120,4.8e-07,39,0.0004555,0.53,0.65
0.0111,4.6e-07,38,0.0004237,0.65,0.68
0.0117,5.1e-07,42,0.0004343,0.62,0.71
0.0121,4.6e-07,38,0.0004449,0.49,0.65
0.0135,6.7e-07,55,0.0005508,0.53,0.67
0.0111,4.3e-07,35,0.0004131,0.59,0.66
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0134,6.7e-07,55,0.0005508,0.53,0.67
0.0115,5.0e-07,41,0.0004449,0.63,0.68
0.0137,7.2e-07,59,0.0005720,0.53,0.68
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0115,5.0e-07,41,0.0004449,0.63,0.68
0.0140,8.0e-07,66,0.0006462,0.56,0.65
0.0105,3.9e-07,32,0.0003708,0.64,0.70
0.0117,4.8e-07,39,0.0004449,0.56,0.66
0.0121,5.2e-07,43,0.0004767,0.56,0.66
0.0128,6.3e-07,52,0.0005191,0.57,0.69
0.0110,4.3e-07,35,0.0004025,0.61,0.68
0.0127,5.9e-07,48,0.0004979,0.55,0.68
0.0121,5.7e-07,47,0.0004873,0.62,0.68
0.0132,6.2e-07,51,0.0005085,0.52,0.69
0.0115,5.2e-07,43,0.0004449,0.66,0.71
0.0111,4.5e-07,37,0.0004237,0.62,0.67
0.0113,5.0e-07,41,0.0004449,0.66,0.68
0.0117,4.5e-07,37,0.0004449,0.53,0.64
0.0124,4.8e-07,39,0.0004767,0.48,0.62
0.0120,5.5e-07,45,0.0004555,0.60,0.71
0.0109,4.5e-07,37,0.0004131,0.67,0.69
0.0129,6.1e-07,50,0.0005085,0.55,0.68
0.0120,5.4e-07,44,0.0004661,0.60,0.68
0.0112,4.8e-07,39,0.0004343,0.65,0.68
0.0120,4.8e-07,39,0.0004343,0.53,0.68
0.0120,5.9e-07,48,0.0005085,0.64,0.67
0.0127,6.7e-07,55,0.0005402,0.62,0.69
0.0125,5.5e-07,45,0.0004767,0.54,0.68
0.0110,4.8e-07,39,0.0004237,0.68,0.70
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0228,1.3e-06,109,0.0010593,0.21,0.55
0.0116,5.0e-07,41,0.0004343,0.61,0.70
0.0128,6.1e-07,50,0.0005085,0.56,0.68
0.0108,4.0e-07,33,0.0004025,0.61,0.65
0.0124,6.1e-07,50,0.0005191,0.61,0.67
0.0156,9.4e-07,77,0.0007627,0.47,0.61
0.0135,8.3e-07,68,0.0006568,0.65,0.65
0.0129,6.2e-07,51,0.0005296,0.56,0.67
0.0116,5.4e-07,44,0.0004449,0.65,0.72
0.0148,9.4e-07,77,0.0007203,0.55,0.64
0.0113,4.5e-07,37,0.0004131,0.60,0.69
0.0130,6.9e-07,57,0.0005508,0.60,0.69
0.0120,5.2e-07,43,0.0004661,0.59,0.67
0.0114,4.3e-07,35,0.0004025,0.55,0.68
0.0112,4.8e-07,39,0.0004237,0.65,0.70
0.0117,5.5e-07,45,0.0004555,0.65,0.71
0.0120,5.4e-07,44,0.0004767,0.60,0.67
0.0130,6.0e-07,49,0.0005191,0.52,0.66
0.0114,5.0e-07,41,0.0004343,0.64,0.70
0.0128,6.3e-07,52,0.0005402,0.57,0.66
0.0158,1.2e-06,95,0.0008157,0.56,0.65
0.0111,4.3e-07,35,0.0004237,0.59,0.65
0.0117,4.8e-07,39,0.0004555,0.56,0.65
0.0116,4.8e-07,39,0.0004237,0.58,0.70
0.0114,4.5e-07,37,0.0004237,0.59,0.67
0.0120,5.4e-07,44,0.0004767,0.60,0.67
0.0120,5.2e-07,43,0.0004661,0.58,0.67
