Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0222,0.0443,2.8e-05,1667,0.0065007,0.61,0.68
0.0219,0.0438,3.4e-05,2036,0.0076993,0.77,0.66
0.0277,0.0554,3.8e-05,2290,0.0082334,0.43,0.66
0.0238,0.0477,3.4e-05,2035,0.0075169,0.60,0.67
0.0227,0.0453,3.1e-05,1846,0.0071000,0.63,0.67
0.0293,0.0585,4.1e-05,2488,0.0090541,0.39,0.64
0.0228,0.0457,3.3e-05,1964,0.0072433,0.65,0.68
0.0232,0.0464,3.3e-05,1964,0.0073866,0.62,0.67
0.0368,0.0736,6.2e-05,3716,0.0133663,0.30,0.57
0.0273,0.0546,4.2e-05,2554,0.0092235,0.50,0.64
0.0235,0.0470,3.7e-05,2220,0.0081813,0.68,0.66
0.0358,0.0716,5.6e-05,3397,0.0119853,0.29,0.59
0.0212,0.0424,3.1e-05,1837,0.0070088,0.77,0.67
0.0295,0.0590,4.6e-05,2755,0.0096925,0.43,0.64
0.0211,0.0422,3.1e-05,1835,0.0070219,0.78,0.67
0.0340,0.0680,5.6e-05,3349,0.0121156,0.34,0.58
0.0346,0.0693,5.9e-05,3529,0.0118811,0.34,0.61
0.0218,0.0435,3.2e-05,1953,0.0073996,0.75,0.67
0.0297,0.0594,4.5e-05,2728,0.0096534,0.41,0.64
0.0220,0.0440,3.2e-05,1952,0.0073085,0.73,0.67
0.0281,0.0562,3.9e-05,2337,0.0087024,0.42,0.64
0.0255,0.0509,4.0e-05,2403,0.0085591,0.58,0.66
0.0213,0.0426,2.7e-05,1648,0.0064486,0.68,0.68
0.0223,0.0446,3.3e-05,2013,0.0076081,0.72,0.66
0.0236,0.0472,3.3e-05,2012,0.0075820,0.61,0.66
0.0219,0.0438,2.9e-05,1764,0.0067613,0.67,0.68
0.0335,0.0671,5.1e-05,3092,0.0112037,0.33,0.60
0.0303,0.0605,4.8e-05,2889,0.0100573,0.41,0.64
0.0284,0.0568,4.1e-05,2459,0.0090541,0.43,0.63
0.0266,0.0533,3.7e-05,2199,0.0081943,0.46,0.65
0.0326,0.0651,5.6e-05,3384,0.0124674,0.39,0.57
0.0235,0.0470,3.5e-05,2133,0.0079338,0.65,0.66
0.0217,0.0433,3.3e-05,2006,0.0075430,0.78,0.66
0.0219,0.0437,3.2e-05,1942,0.0073215,0.74,0.67
0.0275,0.0549,3.9e-05,2324,0.0088066,0.44,0.63
0.0468,0.0935,8.1e-05,4880,0.0180171,0.19,0.50
0.0286,0.0571,4.2e-05,2519,0.0093538,0.43,0.62
0.0245,0.0490,3.3e-05,1998,0.0075690,0.54,0.66
0.0317,0.0634,4.8e-05,2913,0.0103309,0.36,0.62
0.0252,0.0503,3.2e-05,1933,0.0073475,0.48,0.67
0.0232,0.0464,3.2e-05,1933,0.0072954,0.62,0.67
0.0276,0.0553,3.8e-05,2315,0.0085591,0.44,0.64
0.0300,0.0600,4.2e-05,2512,0.0093147,0.37,0.62
0.0217,0.0434,3.2e-05,1931,0.0072824,0.75,0.67
0.0229,0.0457,3.3e-05,1994,0.0074648,0.66,0.67
0.0250,0.0500,3.3e-05,1993,0.0076081,0.51,0.66
0.0383,0.0766,6.1e-05,3698,0.0126888,0.26,0.59
0.0219,0.0438,3.0e-05,1808,0.0069567,0.68,0.67
